name,market,date,open,high,low,close,volume,amount,currency,MA5,MA15,ma_signal
君实生物,港股,2026-04-29,27.98,27.98,26.34,26.68,2731800.0,73040534.0,HKD,26.356,26.8427,
君实生物,港股,2026-04-30,26.6,27.5,26.26,26.32,2111902.0,56489724.84,HKD,26.44,26.928,
君实生物,港股,2026-05-04,26.3,26.42,24.86,25.2,900400.0,22760016.0,HKD,26.304,26.9453,
君实生物,港股,2026-05-05,25.0,25.24,24.38,24.86,541600.0,13399932.0,HKD,26.06,26.8387,
君实生物,港股,2026-05-06,24.92,25.34,24.7,25.3,3467400.0,86721214.2,HKD,25.672,26.8067,
君实生物,港股,2026-05-07,25.3,25.96,24.8,25.58,2672345.0,67635247.6,HKD,25.452,26.6787,
君实生物,港股,2026-05-08,25.94,25.94,24.3,24.48,2438200.0,60169652.2,HKD,25.084,26.4747,
君实生物,港股,2026-05-11,24.48,26.78,24.14,26.1,5038600.0,130514314.4,HKD,25.264,26.284,
君实生物,港股,2026-05-12,26.1,26.48,25.42,25.8,2435600.0,63167229.2,HKD,25.452,26.0973,
君实生物,港股,2026-05-13,26.0,26.3,24.58,24.88,4731400.0,118586988.0,HKD,25.368,25.8813,
君实生物,港股,2026-05-14,24.9,25.38,24.1,24.48,2266329.0,55522132.69,HKD,25.148,25.652,
君实生物,港股,2026-05-15,24.1,24.64,23.42,23.72,2595200.0,61792288.0,HKD,24.996,25.5067,
君实生物,港股,2026-05-18,23.64,23.64,22.68,22.88,3115000.0,71726536.0,HKD,24.352,25.3067,
君实生物,港股,2026-05-19,22.74,23.3,22.08,22.6,2648460.0,59975647.2,HKD,23.712,25.0747,
君实生物,港股,2026-05-20,23.24,23.48,22.6,23.16,2408200.0,55633479.0,HKD,23.368,24.8027,
君实生物,港股,2026-05-21,23.42,24.48,23.14,23.86,2969679.0,71300717.64,HKD,23.244,24.6147,
君实生物,港股,2026-05-22,24.38,24.38,23.04,23.16,1762048.0,41144467.28,HKD,23.132,24.404,
君实生物,港股,2026-05-26,23.16,23.16,21.44,21.66,4988952.0,109060274.24,HKD,22.888,24.168,
君实生物,港股,2026-05-27,22.2,22.2,20.76,21.0,3147000.0,66578647.0,HKD,22.568,23.9107,
君实生物,港股,2026-05-28,21.02,21.26,19.8,20.28,3005000.0,60690417.0,HKD,21.992,23.576,
君实生物,港股,2026-05-29,20.54,21.24,19.7,21.06,4766000.0,97619467.2,HKD,21.432,23.2747,
君实生物,港股,2026-06-01,21.3,22.0,19.0,19.35,10119400.0,203233520.95,HKD,20.67,22.9327,
