| date | open | last | high | low | volume | amount | exchange |
| 2026-01-16 | 8656.35 | 8544.9 | 8695.51 | 8524.51 | 185945 | 46625860000 | 1.87 |
| 2026-01-15 | 8699.1 | 8656.72 | 8774.11 | 8632.15 | 248774 | 53488140000 | 2.51 |
| 2026-01-14 | 8770.54 | 8726.36 | 8917.85 | 8643.13 | 226539 | 68237530000 | 2.28 |
| 2026-01-13 | 8739.3 | 8770.69 | 8925.05 | 8727.62 | 190174 | 65879250000 | 1.92 |
| 2026-01-12 | 8662.99 | 8668.31 | 8719.73 | 8600.53 | 133642 | 45952750000 | 1.35 |
| 2026-01-09 | 8518.78 | 8627.86 | 8635.89 | 8515.41 | 137273 | 42639590000 | 1.36 |
| 2026-01-08 | 8514.45 | 8507.35 | 8544.77 | 8469.09 | 133118 | 37965760000 | 1.32 |
| 2026-01-07 | 8458.26 | 8488.04 | 8544.62 | 8453.55 | 131272 | 40714610000 | 1.30 |
| 2026-01-06 | 8408.38 | 8457.92 | 8464.45 | 8369.15 | 158490 | 43077050000 | 1.57 |
| 2026-01-05 | 8107.7 | 8382.74 | 8395.4 | 8103.76 | 155103 | 49141390000 | 1.54 |
| 2025-12-31 | 8139.31 | 8090.68 | 8168.83 | 8081.4 | 79034 | 23181880000 | 0.79 |
| 2025-12-30 | 8166.01 | 8142.55 | 8172.94 | 8112.39 | 76026 | 23317820000 | 0.76 |
| 2025-12-29 | 8269.05 | 8182.84 | 8269.05 | 8177.93 | 86148 | 24248230000 | 0.86 |
| 2025-12-26 | 8274.86 | 8275.9 | 8299.3 | 8232.1 | 79815 | 21854120000 | 0.79 |
| 2025-12-25 | 8235.34 | 8281.91 | 8294.09 | 8220.07 | 76205 | 20279420000 | 0.76 |
| 2025-12-24 | 8226.94 | 8235.29 | 8260.21 | 8205.28 | 88371 | 21276030000 | 0.88 |
| 2025-12-23 | 8278.37 | 8231.22 | 8290.58 | 8221.81 | 101078 | 22663040000 | 1.01 |
| 2025-12-22 | 8298 | 8272.8 | 8315.74 | 8250.95 | 114772 | 24943500000 | 1.14 |
| 2025-12-19 | 8217.38 | 8301.75 | 8345.96 | 8203.52 | 160910 | 31428580000 | 1.60 |
| 2025-12-18 | 8177.13 | 8206.8 | 8256.55 | 8177.02 | 119872 | 23886530000 | 1.19 |
| 2025-12-17 | 8086.08 | 8199.27 | 8224.99 | 8061.25 | 103610 | 25910110000 | 1.03 |
| 2025-12-16 | 8191.92 | 8087.16 | 8226.62 | 8079.69 | 80482 | 25105510000 | 0.80 |
| 2025-12-15 | 8269.79 | 8200.13 | 8276.89 | 8200.13 | 74445 | 25527320000 | 0.74 |
| 2025-12-12 | 8275.9 | 8307.57 | 8314.23 | 8215.67 | 115849 | 34845350000 | 1.10 |
| 2025-12-11 | 8336.19 | 8276.66 | 8361.22 | 8274.26 | 93820 | 25931690000 | 0.89 |
| 2025-12-10 | 8300.75 | 8327.26 | 8334.05 | 8225.41 | 76969 | 23330950000 | 0.73 |
| 2025-12-09 | 8349.62 | 8309.88 | 8416.57 | 8305.49 | 81885 | 26344950000 | 0.77 |
| 2025-12-08 | 8374.99 | 8349.17 | 8408.49 | 8335.77 | 78477 | 24817820000 | 0.74 |
| 2025-12-05 | 8300.72 | 8334.58 | 8336.39 | 8231.41 | 71693 | 21551200000 | 0.68 |
| 2025-12-04 | 8284.07 | 8291.73 | 8314.81 | 8247.67 | 64637 | 19483860000 | 0.61 |
| 2025-12-03 | 8304.77 | 8275.22 | 8327.69 | 8251.72 | 78052 | 23403790000 | 0.74 |
| 2025-12-02 | 8409.78 | 8305.04 | 8412.38 | 8298.43 | 69346 | 22197780000 | 0.66 |
| 2025-12-01 | 8397.84 | 8423.65 | 8423.84 | 8368.89 | 82784 | 25354440000 | 0.78 |
| 2025-11-28 | 8388.18 | 8394.36 | 8397.13 | 8328.4 | 68616 | 22404750000 | 0.65 |
| 2025-11-27 | 8402.67 | 8375.18 | 8426.95 | 8343.68 | 73002 | 24125350000 | 0.69 |
| 2025-11-26 | 8397.05 | 8421.98 | 8506.58 | 8395.14 | 95905 | 28613840000 | 0.91 |
| 2025-11-25 | 8379.71 | 8383.11 | 8440.16 | 8339.59 | 88484 | 26073700000 | 0.84 |
| 2025-11-24 | 8322.08 | 8354.95 | 8381.05 | 8305.29 | 92238 | 26971980000 | 0.87 |
| 2025-11-21 | 8397.73 | 8281.34 | 8462.51 | 8243 | 115887 | 33463990000 | 1.10 |
| 2025-11-20 | 8521.48 | 8436.21 | 8551.4 | 8429.89 | 85323 | 24706750000 | 0.81 |
| 2025-11-19 | 8538.19 | 8487.46 | 8554.5 | 8470.27 | 85228 | 23407530000 | 0.81 |
| 2025-11-18 | 8584.14 | 8549.82 | 8621.82 | 8520.04 | 102012 | 26230430000 | 0.96 |
| 2025-11-17 | 8728.37 | 8593.98 | 8730.71 | 8559.24 | 115672 | 32664660000 | 1.09 |
| 2025-11-14 | 8762.99 | 8747.32 | 8853.07 | 8747.32 | 116535 | 35180710000 | 1.10 |
| 2025-11-13 | 8716.81 | 8801.48 | 8807.18 | 8692.71 | 116230 | 39301880000 | 1.10 |
| 2025-11-12 | 8673.81 | 8688.48 | 8768.3 | 8673.81 | 116786 | 37453810000 | 1.10 |
| 2025-11-11 | 8696.44 | 8661.95 | 8696.44 | 8616.44 | 113716 | 32565390000 | 1.08 |
| 2025-11-10 | 8581.29 | 8693.65 | 8701.16 | 8567.89 | 140355 | 43379520000 | 1.33 |
| 2025-11-07 | 8577.91 | 8578.34 | 8625.64 | 8557.79 | 114613 | 31676880000 | 1.08 |
| 2025-11-06 | 8569.17 | 8597.77 | 8601.36 | 8542.35 | 89849 | 26662960000 | 0.85 |
| 2025-11-05 | 8502.9 | 8575.62 | 8623.89 | 8502.9 | 91547 | 29487100000 | 0.87 |
| 2025-11-04 | 8718.85 | 8571.65 | 8718.85 | 8530.17 | 124583 | 39929310000 | 1.18 |
| 2025-11-03 | 8830.76 | 8732.18 | 8835.74 | 8686.33 | 137502 | 44209130000 | 1.30 |
| 2025-10-31 | 8674.2 | 8799.51 | 8841.88 | 8659.3 | 170793 | 54515600000 | 1.62 |
| 2025-10-30 | 8789.42 | 8667.67 | 8789.42 | 8666.33 | 162023 | 51725870000 | 1.54 |
| 2025-10-29 | 8778.91 | 8860.07 | 8860.07 | 8713.44 | 124392 | 43341000000 | 1.18 |
| 2025-10-28 | 8853.02 | 8788.66 | 8858.43 | 8772.57 | 128943 | 41199120000 | 1.22 |
| 2025-10-27 | 8917.44 | 8885.24 | 8957.55 | 8853.62 | 122351 | 46058250000 | 1.16 |
| 2025-10-24 | 8797.66 | 8811.32 | 8881.77 | 8769.51 | 86559 | 28977400000 | 0.82 |
| 2025-10-23 | 8784.03 | 8783.16 | 8806.91 | 8691.35 | 88369 | 27110260000 | 0.84 |
| 2025-10-22 | 8856.12 | 8802.41 | 8920.73 | 8796.88 | 94373 | 28301420000 | 0.90 |
| 2025-10-21 | 8811.34 | 8870 | 8887.01 | 8795.76 | 90902 | 30251600000 | 0.86 |
| 2025-10-20 | 8824.83 | 8785.99 | 8858.59 | 8755.93 | 90348 | 30202150000 | 0.86 |
| 2025-10-17 | 8950.69 | 8768.76 | 8976.31 | 8758.28 | 109646 | 35528570000 | 1.04 |
| 2025-10-16 | 8918.04 | 8952.81 | 9050.85 | 8886.9 | 120227 | 37488590000 | 1.14 |
| 2025-10-15 | 8790.17 | 8927 | 8932.38 | 8741.29 | 126008 | 38091660000 | 1.20 |
| 2025-10-14 | 8991.08 | 8775.9 | 9010.65 | 8746.72 | 128436 | 45459900000 | 1.22 |
